v,psi_fine,psi_control
0.0,1.0,1.0
0.0001220703125,0.9999999082801123,0.9999999082801123
0.000244140625,0.9999996331205948,0.9999996331205948
0.0003662109375,0.9999991745218805,0.9999991745218805
0.00048828125,0.9999985324846925,0.9999985324846925
0.0006103515625,0.9999977070100438,0.9999977070100438
0.000732421875,0.999996698099235,0.999996698099235
0.0008544921875,0.999995505753857,0.999995505753857
0.0009765625,0.9999941299757895,0.9999941299757893
0.0010986328125,0.999992570767201,0.9999925707672013
0.001220703125,0.9999908281305495,0.99999082813055
0.0013427734375,0.9999889020685823,0.999988902068582
0.00146484375,0.9999867925843343,0.9999867925843343
0.0015869140625,0.9999844996811312,0.999984499681131
0.001708984375,0.9999820233625859,0.9999820233625859
0.0018310546875,0.9999793636326006,0.9999793636326006
0.001953125,0.999976520495367,0.999976520495367
0.0020751953125,0.9999734939553646,0.9999734939553646
0.002197265625,0.9999702840173614,0.9999702840173617
0.0023193359375,0.9999668906864152,0.9999668906864152
0.00244140625,0.9999633139678696,0.9999633139678697
0.0025634765625,0.9999595538673595,0.9999595538673595
0.002685546875,0.9999556103908054,0.9999556103908056
0.0028076171875,0.999951483544418,0.999951483544418
0.0029296875,0.9999471733346947,0.9999471733346947
0.0030517578125,0.9999426797684208,0.9999426797684209
0.003173828125,0.9999380028526704,0.9999380028526704
0.0032958984375,0.999933142594804,0.999933142594804
0.00341796875,0.9999280990024701,0.9999280990024703
0.0035400390625,0.9999228720836052,0.9999228720836052
0.003662109375,0.9999174618464316,0.9999174618464316
0.0037841796875,0.9999118682994601,0.9999118682994601
0.00390625,0.999906091451488,0.999906091451488
0.0040283203125,0.9999001313115986,0.9999001313115984
0.004150390625,0.9998939878891628,0.9998939878891628
0.0042724609375,0.999887661193838,0.999887661193838
0.00439453125,0.9998811512355666,0.9998811512355668
0.0045166015625,0.9998744580245794,0.9998744580245794
0.004638671875,0.9998675815713911,0.9998675815713911
0.0047607421875,0.9998605218868023,0.9998605218868027
0.0048828125,0.9998532789819008,0.9998532789819008
0.0050048828125,0.9998458528680578,0.999845852868058
0.005126953125,0.9998382435569318,0.9998382435569316
0.0052490234375,0.9998304510604639,0.9998304510604639
0.00537109375,0.9998224753908818,0.999822475390882
0.0054931640625,0.9998143165606971,0.9998143165606971
0.005615234375,0.9998059745827058,0.9998059745827058
0.0057373046875,0.9997974494699882,0.9997974494699884
0.005859375,0.9997887412359081,0.9997887412359081
0.0059814453125,0.9997798498941135,0.9997798498941133
0.006103515625,0.9997707754585352,0.9997707754585352
0.0062255859375,0.9997615179433877,0.9997615179433879
0.00634765625,0.9997520773631688,0.9997520773631688
0.0064697265625,0.9997424537326584,0.9997424537326584
0.006591796875,0.9997326470669186,0.9997326470669186
0.0067138671875,0.9997226573812945,0.9997226573812943
0.0068359375,0.9997124846914125,0.9997124846914125
0.0069580078125,0.9997021290131812,0.9997021290131812
0.007080078125,0.9996915903627901,0.9996915903627905
0.0072021484375,0.9996808687567109,0.9996808687567109
0.00732421875,0.9996699642116949,0.9996699642116944
0.0074462890625,0.9996588767447737,0.9996588767447735
0.007568359375,0.9996476063732606,0.9996476063732603
0.0076904296875,0.9996361531147475,0.9996361531147477
0.0078125,0.9996245169871082,0.9996245169871081
0.0079345703125,0.9996126980084926,0.9996126980084926
0.008056640625,0.9996006961973325,0.9996006961973326
0.0081787109375,0.9995885115723374,0.9995885115723373
0.00830078125,0.9995761441524946,0.9995761441524946
0.0084228515625,0.9995635939570708,0.9995635939570708
0.008544921875,0.9995508610056095,0.9995508610056095
0.0086669921875,0.9995379453179327,0.9995379453179327
0.0087890625,0.9995248469141386,0.9995248469141386
0.0089111328125,0.9995115658146027,0.9995115658146027
0.009033203125,0.9994981020399769,0.9994981020399769
0.0091552734375,0.9994844556111896,0.9994844556111896
0.00927734375,0.9994706265494437,0.999470626549444
0.0093994140625,0.9994566148762196,0.9994566148762196
0.009521484375,0.9994424206132713,0.9994424206132713
0.0096435546875,0.9994280437826277,0.9994280437826277
0.009765625,0.9994134844065926,0.9994134844065926
0.0098876953125,0.9993987425077434,0.9993987425077434
0.010009765625,0.9993838181089312,0.9993838181089312
0.0101318359375,0.9993687112332805,0.9993687112332803
0.01025390625,0.9993534219041886,0.9993534219041886
0.0103759765625,0.9993379501453252,0.9993379501453252
0.010498046875,0.9993222959806326,0.9993222959806324
