bin,alpha_left,alpha_right,x_left,x_right,event_cells,unweighted_positive_mass,prime_square_mass,mixed_center_mass,continuous_center_mass,psi_left_simpson,psi_right_simpson,weight_lower_analytic_only,weight_upper_analytic_only,weighted_midpoint,weighted_lower_analytic_only,weighted_upper_analytic_only
0,1.75,1.750030517578125,177827.94100389228,177865.43250122847,6,4.527994533403776e-06,0.0008765947255114034,-0.0016577706127652088,0.0007857038817872094,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,8.502629975972973e-13
1,1.750030517578125,1.75006103515625,177865.43250122847,177902.93190290398,7,9.948935367153442e-06,0.0009429029401821829,-0.0017188235366970013,0.0007858695318819719,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.8682026989592477e-12
2,1.75006103515625,1.750091552734375,177902.93190290398,177940.4392105852,9,1.4125288076943225e-06,0.0007427593684524666,-0.0015273820565439688,0.0007860352168991964,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.652434691258078e-13
3,1.750091552734375,1.7501220703125,177940.4392105852,177977.95442593898,8,5.5742938169292025e-06,0.0006762987458859328,-0.0014569253889170353,0.0007862009368480318,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.0467361953079586e-12
4,1.7501220703125,1.750152587890625,177977.95442593898,178015.47755063247,6,5.395686083647141e-06,0.0006874744106459274,-0.0014684454162974677,0.0007863666917351873,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.0131973856706807e-12
5,1.750152587890625,1.75018310546875,178015.47755063247,178053.0085863332,7,2.7283035645927672e-06,0.0007335605755849965,-0.0015173647535889957,0.000786532481568592,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,5.12318544130887e-13
6,1.75018310546875,1.750213623046875,178053.0085863332,178090.54753470904,7,4.4814085688235165e-06,0.0008583297460481277,-0.0016405466438348688,0.0007866983063555649,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,8.415151244278929e-13
7,1.750213623046875,1.750244140625,178090.54753470904,178128.09439742827,8,1.4460882813109828e-06,0.0007830163791852484,-0.0015684344570079725,0.0007868641661040351,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.7154523879990657e-13
8,1.750244140625,1.750274658203125,178128.09439742827,178165.6491761594,6,8.199549869776992e-07,0.0007807858482819026,-0.0015669959541144167,0.0007870300608194917,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.5397045645247953e-13
9,1.750274658203125,1.75030517578125,178165.6491761594,178203.2118725714,7,2.4849897034120586e-06,0.0008534225136879,-0.001638133514495572,0.0007871959905110838,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,4.666292723267168e-13
