bin,alpha_left,alpha_right,x_left,x_right,event_cells,unweighted_positive_mass,prime_square_mass,mixed_center_mass,continuous_center_mass,psi_left_simpson,psi_right_simpson,weight_lower_analytic_only,weight_upper_analytic_only,weighted_midpoint,weighted_lower_analytic_only,weighted_upper_analytic_only
0,1.75,1.750030517578125,3162.2776601683795,3162.722113603696,1,5.883117950034601e-05,0.0004904797632779486,-0.0006412213754718277,0.00020957279169422512,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.1047269307665536e-11
1,1.750030517578125,1.75006103515625,3162.722113603696,3163.166629506278,2,4.2690227433139094e-05,0.00043427102702316036,-0.0006011830464265135,0.00020960224683649225,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,8.01633493098001e-12
2,1.75006103515625,1.750091552734375,3163.166629506278,3163.61120788491,1,1.581106956621575e-05,0.00034058618837362283,-0.0005344068249286755,0.00020963170612126834,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.968989318651899e-12
3,1.750091552734375,1.7501220703125,3163.61120788491,3164.0558487483795,1,1.5792670835093096e-05,0.00034053832622101487,-0.0005344068249351184,0.0002096611695491966,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.9655344204268846e-12
4,1.7501220703125,1.750152587890625,3164.0558487483795,3164.5005521054577,1,1.5774282970647035e-05,0.0003404904707863529,-0.0005344068249289069,0.000209690637113201,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.9620815627372424e-12
5,1.750152587890625,1.75018310546875,3164.5005521054577,3164.945317964933,1,1.5755905973068278e-05,0.0003404426220806336,-0.0005344068249287805,0.00020972010882121527,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.958630745618785e-12
6,1.75018310546875,1.750213623046875,3164.945317964933,3165.390146335596,1,1.573753984201362e-05,0.0003403947801033545,-0.000534406824935438,0.00020974958467409716,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.955181969007065e-12
7,1.750213623046875,1.750244140625,3165.390146335596,3165.8350372262207,1,1.5719184576513643e-05,0.0003403469448404472,-0.0005344068249282752,0.00020977906466434172,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.9517352327200465e-12
8,1.750244140625,1.750274658203125,3165.8350372262207,3166.2799906456007,1,1.5700840176837935e-05,0.00034029911630463743,-0.0005344068249287544,0.0002098085488009549,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.948290536808352e-12
9,1.750274658203125,1.75030517578125,3166.2799906456007,3166.7250066025294,1,1.5682506642579466e-05,0.00034025129449403123,-0.0005344068249353883,0.00020983803708393662,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.9448478811955504e-12
10,1.75030517578125,1.750335693359375,3166.7250066025294,3167.1700851057853,2,9.708447736208153e-06,0.0002934243286880223,-0.000493583410458025,0.00020986752950621085,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,1.8230441342869302e-12
11,1.750335693359375,1.7503662109375,3167.1700851057853,3167.615226164165,1,7.212061165773442e-08,0.00021775061870258302,-0.0004275755241672801,0.00020989702607635474,0.0,1.5030738656859805e-300,0.0,1.8777915726813812e-07,5.420130328001413e-308,0.0,1.3542747678752026e-14
12,1.7503662109375,1.750396728515625,3167.615226164165,3168.0604297864656,1,7.102110167859499e-08,0.00021772001847947034,-0.00042757552417237437,0.00020992652679458257,1.5030738656859805e-300,1.0841735481187485e-277,0.0,1.8777915726813812e-07,3.849959989909236e-285,0.0,1.3336282621461316e-14
13,1.750396728515625,1.75042724609375,3168.0604297864656,3168.5056959814697,1,6.993003819154125e-08,0.0002176894225513222,-0.0004275755241671634,0.0002099560316540328,1.0841735481187485e-277,4.27904785485885e-258,0.0,1.8777915726813812e-07,1.4961698995685604e-265,0.0,1.313140363933633e-14
14,1.75042724609375,1.750457763671875,3168.5056959814697,3168.951024757977,1,6.88474211775905e-08,0.00021765883092538115,-0.00042757552416705717,0.00020998554066285353,4.27904785485885e-258,4.1482037737161985e-241,0.0,1.8777915726813812e-07,1.4279656616975472e-248,0.0,1.292811072881251e-14
15,1.750457763671875,1.75048828125,3168.951024757977,3169.396416124789,2,1.04539616542568e-05,0.00013292359048706884,-0.0003324846826547146,0.00021001505382190256,4.1482037737161985e-241,3.0462719222006716e-226,0.0,1.8777915726813812e-07,1.592280493156251e-231,0.0,1.963036109549773e-12
16,1.75048828125,1.750518798828125,3169.396416124789,3169.8418700906914,1,1.1748786888658723e-05,0.00012244007198856493,-0.00032073585622336673,0.0002100445711234605,3.0462719222006716e-226,4.009933756338181e-213,0.0,1.8777915726813812e-07,2.3555928570429814e-218,0.0,2.2061773008752854e-12
17,1.750518798828125,1.75054931640625,3169.8418700906914,3170.287386664488,1,1.1761101989423356e-05,0.00012242286563642272,-0.0003207358562235326,0.0002100740925765333,4.009933756338181e-213,1.8489381516305137e-201,0.0,1.8777915726813812e-07,1.0872775086754769e-206,0.0,2.2084898201185405e-12
18,1.75054931640625,1.750579833984375,3170.287386664488,3170.732965854984,1,1.1773423657501856e-05,0.0001224056617036184,-0.0003207358562272375,0.00021010361818112093,1.8489381516305137e-201,5.068050634146132e-191,0.0,1.8777915726813812e-07,2.9834153617825095e-196,0.0,2.2108035725664587e-12
19,1.750579833984375,1.7506103515625,3170.732965854984,3171.178607670969,1,1.1785751892744365e-05,0.0001223884601857249,-0.00032073585622377114,0.00021013314793079057,5.068050634146132e-191,1.2608908637893327e-181,0.0,1.8777915726813812e-07,7.430273445211143e-187,0.0,2.2131185581909005e-12
20,1.7506103515625,1.750640869140625,3171.178607670969,3171.62431212125,2,2.9207095812741246e-06,0.0001944256254720289,-0.0004016675977235876,0.00021016268183283277,1.2608908637893327e-181,4.010690600567084e-173,0.0,1.8777915726813812e-07,5.857031250714658e-179,0.0,5.484483837966316e-13
21,1.750640869140625,1.75067138671875,3171.62431212125,3172.0700792146363,1,6.394886101549096e-08,0.00021758869294789533,-0.00042771696397562835,0.0002101922198887485,4.010690600567084e-173,2.1587795079352816e-165,0.0,1.8777915726813812e-07,6.902574664041712e-173,0.0,1.2008263229746183e-14
22,1.75067138671875,1.750701904296875,3172.0700792146363,3172.515908959921,1,6.291359531376605e-08,0.00021755811547483298,-0.0004277169639705521,0.00021022176209103282,2.1587795079352816e-165,2.4786818918163556e-158,0.0,1.8777915726813812e-07,7.797140151747612e-166,0.0,1.1813861908727673e-14
23,1.750701904296875,1.750732421875,3172.515908959921,3172.9618013659147,1,6.188677873997594e-08,0.0002175275423010518,-0.0004277169639699313,0.00021025130844761947,2.4786818918163556e-158,7.363343560247803e-152,0.0,1.8777915726813812e-07,2.2784688354856014e-159,0.0,1.1621047157832409e-14
24,1.750732421875,1.750762939453125,3172.9618013659147,3173.407756441431,1,6.086841127412048e-08,0.00021749697342711592,-0.0004277169639760658,0.000210280858960224,7.363343560247803e-152,6.655532967850515e-146,0.0,1.8777915726813812e-07,2.0255608306530847e-153,0.0,1.142981897330478e-14
25,1.750762939453125,1.75079345703125,3173.407756441431,3173.853774195266,1,5.98584928934363e-08,0.00021746640884294643,-0.0004277169639703222,0.00021031041362026918,6.655532967850515e-146,2.099553382029625e-140,0.0,1.8777915726813812e-07,6.283824979389166e-148,0.0,1.1240177350870304e-14
26,1.75079345703125,1.750823974609375,3173.853774195266,3174.2998546362346,1,5.8857023580485555e-08,0.0002174358485568734,-0.0004277169639702685,0.00021033997243697551,2.099553382029625e-140,2.5981614242623874e-135,0.0,1.8777915726813812e-07,7.646064197417421e-143,0.0,1.105212228725451e-14
27,1.750823974609375,1.7508544921875,3174.2998546362346,3174.7459977731532,1,5.786400331539114e-08,0.0002174052925681297,-0.00042771696397558606,0.0002103695354107717,2.5981614242623874e-135,1.3941537821653453e-130,0.0,1.8777915726813812e-07,4.033641123679666e-138,0.0,1.0865653778724898e-14
28,1.7508544921875,1.750885009765625,3174.7459977731532,3175.1922036148226,1,5.6879432076380926e-08,0.00021737474086797436,-0.00042771696397026534,0.00021039910253436734,1.3941537821653453e-130,3.536483764177463e-126,0.0,1.8777915726813812e-07,1.005805589606458e-133,0.0,1.0680771821193114e-14
29,1.750885009765625,1.75091552734375,3175.1922036148226,3175.6384721700615,1,5.590330984621138e-08,0.00021734419346406477,-0.000427716963970558,0.00021042867381633947,3.536483764177463e-126,4.5704681958876075e-122,0.0,1.8777915726813812e-07,1.2776203490586159e-129,0.0,1.0497476411421181e-14
30,1.75091552734375,1.750946044921875,3175.6384721700615,3176.0848034476894,1,5.4935636605455094e-08,0.00021731365035541274,-0.0004277169639757097,0.0002104582492569025,4.5704681958876075e-122,3.212151572697583e-118,0.0,1.8777915726813812e-07,8.824334983867405e-126,0.0,1.0315767545761037e-14
31,1.750946044921875,1.7509765625,3176.0848034476894,3176.5311974565107,1,5.397641233300979e-08,0.00021728311153350566,-0.00042771696397015307,0.0002104878288489804,3.212151572697583e-118,1.2997436165444648e-114,0.0,1.8777915726813812e-07,3.5086417707788903e-122,0.0,1.0135645220250116e-14
32,1.7509765625,1.751007080078125,3176.5311974565107,3176.9776542053482,1,5.302563701207318e-08,0.0002172525770062153,-0.0004277169639705678,0.0002105174126013646,1.2997436165444648e-114,3.183635787589587e-111,0.0,1.8777915726813812e-07,8.44416176922954e-119,0.0,9.957109431733295e-15
